Name,Code,Start,End,Return [%],Buy & Hold Return [%],Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max. Drawdown [%],Max. Drawdown Duration,# Trades,Win Rate [%],Best Trade [%],Worst Trade [%],Avg. Trade [%],Max. Trade Duration,Avg. Trade Duration,Profit Factor,Expectancy [%],SQN,_strategy
アドバンス オート パーツ,AAP,2019-08-19,2024-08-16,-0.3,-54.4,0.0,0.0,0.0,-0.4,856 days 00:00:00,51,39.2,17.9,-37.9,-3.1,97 days 00:00:00,23 days 00:00:00,0.7,-2.3,-1.3,"EMA_diff(tp=10,n=10,sl=7,duration=180,size=100)"
アドバンス オート パーツ,AAP,2019-08-19,2024-08-16,-0.4,-54.4,0.0,0.0,0.0,-0.5,1733 days 00:00:00,51,41.2,19.3,-37.9,-4.3,110 days 00:00:00,35 days 00:00:00,0.6,-3.3,-1.9,"EMA_diff(tp=10,n=10,sl=12,duration=180,size=100)"
アドバンス オート パーツ,AAP,2019-08-19,2024-08-16,-0.5,-54.4,0.0,0.0,0.0,-0.7,926 days 00:00:00,72,43.1,20.3,-37.9,-2.9,108 days 00:00:00,28 days 00:00:00,0.7,-2.0,-1.8,"EMA_diff(tp=10,n=20,sl=7,duration=180,size=100)"
アドバンス オート パーツ,AAP,2019-08-19,2024-08-16,-0.8,-54.4,0.0,0.0,0.0,-1.0,926 days 00:00:00,72,45.8,22.0,-39.4,-4.7,114 days 00:00:00,38 days 00:00:00,0.6,-3.5,-2.5,"EMA_diff(tp=10,n=20,sl=12,duration=180,size=100)"
アドバンス オート パーツ,AAP,2019-08-19,2024-08-16,-0.8,-54.4,0.0,0.0,0.0,-0.9,926 days 00:00:00,89,33.7,19.3,-37.9,-3.9,120 days 00:00:00,28 days 00:00:00,0.5,-3.2,-2.6,"EMA_diff(tp=10,n=30,sl=7,duration=180,size=100)"
アドバンス オート パーツ,AAP,2019-08-19,2024-08-16,-1.2,-54.4,0.0,0.0,0.0,-1.4,926 days 00:00:00,89,40.4,21.1,-40.4,-6.3,120 days 00:00:00,38 days 00:00:00,0.5,-5.1,-3.2,"EMA_diff(tp=10,n=30,sl=12,duration=180,size=100)"
アドバンス オート パーツ,AAP,2019-08-19,2024-08-16,-0.4,-54.4,0.0,0.0,0.0,-0.6,849 days 00:00:00,51,27.5,25.6,-37.9,-4.5,148 days 00:00:00,34 days 00:00:00,0.6,-3.3,-1.7,"EMA_diff(tp=20,n=10,sl=7,duration=180,size=100)"
アドバンス オート パーツ,AAP,2019-08-19,2024-08-16,-0.6,-54.4,0.0,0.0,0.0,-0.8,849 days 00:00:00,51,31.4,32.0,-37.9,-5.5,148 days 00:00:00,49 days 00:00:00,0.6,-3.9,-2.2,"EMA_diff(tp=20,n=10,sl=12,duration=180,size=100)"
アドバンス オート パーツ,AAP,2019-08-19,2024-08-16,-0.5,-54.4,0.0,0.0,0.0,-1.1,926 days 00:00:00,72,36.1,28.8,-37.9,-2.5,181 days 00:00:00,43 days 00:00:00,0.8,-1.3,-1.5,"EMA_diff(tp=20,n=20,sl=7,duration=180,size=100)"
アドバンス オート パーツ,AAP,2019-08-19,2024-08-16,-0.9,-54.4,0.0,0.0,0.0,-1.5,926 days 00:00:00,72,37.5,32.0,-39.4,-4.8,181 days 00:00:00,56 days 00:00:00,0.7,-3.2,-2.4,"EMA_diff(tp=20,n=20,sl=12,duration=180,size=100)"
