Name,Code,Start,End,Return [%],Buy & Hold Return [%],Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max. Drawdown [%],Max. Drawdown Duration,# Trades,Win Rate [%],Best Trade [%],Worst Trade [%],Avg. Trade [%],Max. Trade Duration,Avg. Trade Duration,Profit Factor,Expectancy [%],SQN,_strategy
大塚ホールディングス,4578,2019-06-21,2024-06-21,7.8,79.3,0.4,0.5,0.2,-8.3,687 days,42,52.4,16.7,-9.6,1.9,153 days,64 days,1.7,2.4,1.4,"EMA_diff(tp=10,n=10,sl=7,duration=180,size=100)"
大塚ホールディングス,4578,2019-06-21,2024-06-21,1.3,79.3,0.0,0.0,0.0,-15.8,867 days 00:00:00,84,45.2,17.9,-22.0,0.0,145 days 00:00:00,59 days 00:00:00,1.1,0.5,0.2,"EMA_diff(tp=10,n=20,sl=7,duration=180,size=100)"
大塚ホールディングス,4578,2019-06-21,2024-06-21,-1.0,79.3,0.0,0.0,0.0,-17.2,872 days 00:00:00,94,47.9,16.8,-18.9,-0.2,145 days 00:00:00,53 days 00:00:00,1.1,0.3,-0.1,"EMA_diff(tp=10,n=30,sl=7,duration=180,size=100)"
大塚ホールディングス,4578,2019-06-21,2024-06-21,14.7,79.3,0.5,0.7,0.3,-9.6,687 days 00:00:00,42,47.6,29.0,-10.8,3.4,182 days 00:00:00,100 days 00:00:00,2.1,4.2,1.9,"EMA_diff(tp=20,n=10,sl=7,duration=180,size=100)"
大塚ホールディングス,4578,2019-06-21,2024-06-21,10.5,79.3,0.2,0.3,0.1,-18.0,872 days 00:00:00,84,44.0,28.6,-13.3,1.1,182 days 00:00:00,89 days 00:00:00,1.4,1.8,1.0,"EMA_diff(tp=20,n=20,sl=7,duration=180,size=100)"
大塚ホールディングス,4578,2019-06-21,2024-06-21,-2.7,79.3,0.0,0.0,0.0,-18.6,1597 days 00:00:00,92,43.5,23.3,-13.4,-0.4,161 days 00:00:00,69 days 00:00:00,1.0,0.1,-0.3,"EMA_diff(tp=20,n=30,sl=7,duration=180,size=100)"
大塚ホールディングス,4578,2019-06-21,2024-06-21,13.8,79.3,0.4,0.6,0.3,-9.9,620 days 00:00:00,42,47.6,36.3,-22.3,3.1,182 days 00:00:00,114 days 00:00:00,2.0,4.0,1.7,"EMA_diff(tp=30,n=10,sl=7,duration=180,size=100)"
大塚ホールディングス,4578,2019-06-21,2024-06-21,5.6,79.3,0.1,0.1,0.1,-22.3,1505 days 00:00:00,83,42.2,32.4,-22.3,0.4,182 days 00:00:00,97 days 00:00:00,1.3,1.1,0.6,"EMA_diff(tp=30,n=20,sl=7,duration=180,size=100)"
大塚ホールディングス,4578,2019-06-21,2024-06-21,-7.2,79.3,0.0,0.0,0.0,-22.3,1597 days 00:00:00,91,45.1,31.7,-22.3,-0.9,169 days 00:00:00,78 days 00:00:00,0.9,-0.5,-0.9,"EMA_diff(tp=30,n=30,sl=7,duration=180,size=100)"
大塚ホールディングス,4578,2019-06-21,2024-06-21,1.2,79.3,0.1,0.1,0.0,-5.8,748 days 00:00:00,20,45.0,16.7,-10.8,0.4,111 days 00:00:00,60 days 00:00:00,1.2,0.8,0.3,"VR(tp=10,n=10,sl=7,duration=180,size=100)"
