Name,Code,Date,MACD_Sign,EMA_dev_Sign,RSI_Sign,break_30d_Sign,break_52w_Sign,vr_Sign,BBAND_L2_Sign,MACD_Win Rate [%],MACD_SQN,RSI_Win Rate [%],RSI_SQN,EMA_diff_Win Rate [%],EMA_diff_SQN,VR_Win Rate [%],VR_SQN,MAX52w_Win Rate [%],MAX52w_SQN,BB2_Win Rate [%],BB2_SQN,stochastic_Win Rate [%],stochastic_SQN,tsumitate_Win Rate [%],tsumitate_SQN,MAX30d_Win Rate [%],MAX30d_SQN,Price_0d,PL_0d,Price_1d,PL_1d,Price_3d,PL_3d,Price_7d,PL_7d,Price_14d,PL_14d,Price_21d,PL_21d,Price_28d,PL_28d,Price_60d,PL_60d,Resi_Price
3M,MMM,2024-11-07,0.0,0.0,0.0,0.0,0.0,1.0,0.0,36.36363636363637,0.6731026633358059,66.66666666666666,0.838139428720002,43.01075268817204,0.4627116531299066,29.268292682926827,-0.064733091856893,36.36363636363637,-1.9652043560577697,24.324324324324326,-1.2000318547634194,40.76433121019109,-0.2076377320108283,45.0,0.3391683992655857,41.37931034482759,0.6406800979972652,132.5,0.0,133.2,0.5,,,,,,,,,,,,,
アーチャー ダニエルズ ミッドランド,ADM,2024-11-07,0.0,1.0,0.0,0.0,0.0,0.0,0.0,40.0,0.1916340145591069,46.15384615384615,-0.1371432322833147,51.72413793103448,1.2728512150039375,46.66666666666666,0.5837257663872331,66.66666666666666,2.724878273720468,47.368421052631575,-0.6538786428624511,49.00662251655629,1.111840427608413,51.66666666666667,1.1594419504246365,51.16279069767442,1.877022995180144,51.9,0.0,51.6,-0.6,,,,,,,,,,,,,
AES,AES,2024-11-07,0.0,1.0,1.0,0.0,0.0,1.0,1.0,100.0,15.112659856943576,55.55555555555556,0.9228914010777892,35.483870967741936,-0.306137153386989,35.0,0.7063481781009215,0.0,-21.04556046595226,20.588235294117645,-1.875238928441597,33.76623376623377,-0.8267137365730681,36.66666666666666,-0.8170983569356242,25.0,-1.951682434677028,13.6,0.0,13.3,-2.2,,,,,,,,,,,,,
アライアント エナジー,LNT,2024-11-07,0.0,1.0,1.0,0.0,0.0,1.0,0.0,50.0,0.1824222904015508,100.0,23.44754883562321,60.78431372549019,3.2938567492616766,70.0,3.377362975359028,0.0,-4.161866050751625,68.88888888888889,2.069461682958826,51.67785234899329,0.7812451009689255,58.333333333333336,0.8861608671351958,29.03225806451613,-1.5257795509292806,56.1,0.0,56.2,0.2,,,,,,,,,,,,,
アルファベット A,GOOGL,2024-11-07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,60.0,1.5668937452631777,27.77777777777778,0.6171989818151773,61.16504854368932,5.128034209214283,56.81818181818182,3.015273491828226,59.25925925925925,1.719425819036683,42.85714285714285,1.4257873625078183,58.490566037735846,5.325742723509982,55.00000000000001,3.1223522243001307,57.49999999999999,1.800056589215306,177.2,0.0,178.1,0.5,,,,,,,,,,,,,
アルファベット C,GOOG,2024-11-07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,60.0,1.0624714397465016,29.166666666666668,0.5940037531460806,62.61682242990653,5.021286199553379,70.0,3.1772831715634537,65.38461538461539,1.903580525336393,61.76470588235294,1.6769251352914651,59.62732919254658,4.916703732396364,58.333333333333336,3.157860599402514,60.0,1.6702216149085276,178.9,0.0,179.6,0.4,,,,,,,,,,,,,
アマゾン ドットコム,AMZN,2024-11-07,0.0,0.0,0.0,1.0,1.0,0.0,0.0,75.0,1.06590749000551,79.41176470588235,3.635986722748609,75.75757575757575,4.263554179347471,72.72727272727273,4.458536177937824,66.66666666666666,0.6568968366035762,71.875,2.580969398549592,62.5,3.4576020490134622,70.0,2.075047590879227,57.14285714285714,1.777362796952366,207.2,0.0,207.4,0.1,,,,,,,,,,,,,
アムコア,AMCR,2024-11-07,0.0,1.0,1.0,0.0,0.0,0.0,0.0,75.0,0.563261334261286,48.71794871794872,0.6422559060285404,55.00000000000001,1.8168270283655248,80.55555555555556,2.0776152908759418,0.0,-4.999981772235104,56.41025641025641,1.4561911466479986,64.82758620689654,1.8121049418006343,65.0,0.6557668621749301,41.37931034482759,-1.6295371900211173,10.2,0.0,10.2,0.0,,,,,,,,,,,,,
アメリカン エレクトリック パワー,AEP,2024-11-07,0.0,0.0,0.0,0.0,0.0,0.0,1.0,63.63636363636363,0.4771686785407624,81.25,1.7082339854863793,64.70588235294117,2.445636991457196,69.0909090909091,2.573119384231738,20.0,-1.622077999860125,57.89473684210527,1.7119155930631325,51.77304964539007,1.6069119891139254,60.0,0.5429976620065945,40.625,-0.9274700523739594,95.3,0.0,95.6,0.3,,,,,,,,,,,,,
AMT,AMT,2024-11-07,0.0,1.0,1.0,0.0,0.0,0.0,1.0,42.85714285714285,-0.2384809021243789,87.5,4.424021293212191,47.61904761904761,-0.7078464819828273,80.95238095238095,2.4047733276501986,22.22222222222222,-0.9788755062877345,41.66666666666667,0.1641510965483824,47.368421052631575,-1.3722296465535109,33.33333333333333,-1.9222649151973208,43.24324324324324,-0.312180113317743,196.0,0.0,198.2,1.1,,,,,,,,,,,,,
アンシス,ANSS,2024-11-07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,50.0,0.5163958413141729,67.74193548387096,1.8069810581977663,65.78947368421053,2.151961585060919,63.41463414634146,1.4176090725914967,0.0,-10.061676276671877,55.00000000000001,1.7090340377020512,62.66666666666667,2.423231082437491,58.333333333333336,0.2190840975838311,46.42857142857143,-0.9801676691706338,341.1,0.0,340.8,-0.1,,,,,,,,,,,,,
