Name,Code,Date,MACD_Sign,EMA_dev_Sign,RSI_Sign,break_30d_Sign,break_52w_Sign,vr_Sign,BBAND_L2_Sign,MACD_Win Rate [%],MACD_SQN,RSI_Win Rate [%],RSI_SQN,EMA_diff_Win Rate [%],EMA_diff_SQN,VR_Win Rate [%],VR_SQN,MAX52w_Win Rate [%],MAX52w_SQN,BB2_Win Rate [%],BB2_SQN,stochastic_Win Rate [%],stochastic_SQN,tsumitate_Win Rate [%],tsumitate_SQN,MAX30d_Win Rate [%],MAX30d_SQN,Price_0d,PL_0d,PL_1d,PL_2d,PL_3d,PL_4d,PL_5d,PL_6d,PL_7d,PL_8d,PL_9d,PL_10d,PL_11d,PL_12d,PL_13d,PL_14d,PL_15d,PL_16d,PL_17d,PL_18d,PL_19d,PL_20d,PL_21d,PL_22d,PL_23d,PL_24d,PL_25d,PL_26d,PL_27d,PL_28d,PL_29d,PL_30d,PL_31d,PL_32d,PL_33d,PL_34d,PL_35d,PL_36d,PL_37d,PL_38d,PL_39d,PL_40d,PL_41d,PL_42d,PL_43d,PL_44d,PL_45d,PL_60d
3M,MMM,2024-11-07,0.0,0.0,0.0,0.0,0.0,1.0,0.0,36.36363636,0.673102663,66.66666667,0.838139429,43.01075269,0.462711653,29.26829268,-0.064733092,36.36363636,-1.965204356,24.32432432,-1.200031855,40.76433121,-0.207637732,45.0,0.339168399,41.37931034,0.640680098,132.5,0.0,0.5283018867924443,0.22641509433963125,-3.018867924528302,-1.2830188679245198,-0.5283018867924443,-2.1132075471698197,-2.9433962264150986,-3.3962264150943398,-4.075471698113212,-4.67924528301887,-4.603773584905656,-3.698113207547174,-2.188679245283023,-0.07547169811320326,-0.37735849056603776,-0.07547169811320326,-1.3584905660377444,-1.6603773584905575,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アーチャー ダニエルズ ミッドランド,ADM,2024-11-07,0.0,1.0,0.0,0.0,0.0,0.0,0.0,40.0,0.191634015,46.15384615,-0.137143232,51.72413793,1.272851215,46.66666667,0.583725766,66.66666667,2.724878274,47.36842105,-0.653878643,49.00662252,1.111840428,51.66666667,1.15944195,51.1627907,1.877022995,51.9,0.0,-0.5780346820809193,0.3853564547206221,-0.9633911368015415,-1.734104046242772,-0.19267822736031104,1.5414258188824745,1.5414258188824745,0.5780346820809331,1.734104046242772,1.926782273603083,1.734104046242772,1.3487475915221636,1.1560693641618525,3.468208092485557,3.853564547206166,3.0828516377649353,1.734104046242772,0.5780346820809331,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AES,AES,2024-11-07,0.0,1.0,1.0,0.0,0.0,1.0,1.0,100.0,15.11265986,55.55555556,0.922891401,35.48387097,-0.306137153,35.0,0.706348178,0.0,-21.04556047,20.58823529,-1.875238928,33.76623377,-0.826713737,36.66666667,-0.817098357,25.0,-1.951682435,13.6,0.0,-2.2058823529411686,-2.2058823529411686,-2.2058823529411686,-1.4705882352941124,0.0,1.4705882352941255,0.7352941176470562,-0.7352941176470562,-2.941176470588238,-4.411764705882351,-4.411764705882351,-3.6764705882352944,-8.088235294117645,-7.352941176470589,-4.411764705882351,-5.147058823529407,-4.411764705882351,-4.411764705882351,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アライアント エナジー,LNT,2024-11-07,0.0,1.0,1.0,0.0,0.0,1.0,0.0,50.0,0.18242229,100.0,23.44754884,60.78431373,3.293856749,70.0,3.377362975,0.0,-4.161866051,68.88888889,2.069461683,51.67785235,0.781245101,58.33333333,0.886160867,29.03225806,-1.525779551,56.1,0.0,0.17825311942959254,3.0303030303030227,6.595365418894823,5.882352941176466,5.882352941176466,5.882352941176466,8.199643493761142,8.9126559714795,9.982174688057043,10.516934046345808,12.4777183600713,12.4777183600713,12.4777183600713,13.012477718360065,12.4777183600713,10.338680926916217,10.160427807486624,9.982174688057043,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アルファベット A,GOOGL,2024-11-07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,60.0,1.566893745,27.77777778,0.617198982,61.16504854,5.128034209,56.81818182,3.015273492,59.25925926,1.719425819,42.85714286,1.425787363,58.49056604,5.325742724,55.0,3.122352224,57.5,1.800056589,177.2,0.0,0.5079006772009061,0.7336343115124218,1.241534988713328,0.7336343115124218,-1.6365688487584522,-3.3860045146726865,-2.4266365688487492,-2.0316027088036086,-1.918735891647843,-7.618510158013544,-7.5056433408577785,-6.546275395033857,-5.4176072234762955,-5.191873589164779,-5.643340857787811,-4.8532731376975144,-3.5553047404063114,-3.4424379232505617,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アルファベット C,GOOG,2024-11-07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,60.0,1.06247144,29.16666667,0.594003753,62.61682243,5.0212862,70.0,3.177283172,65.38461538,1.903580525,61.76470588,1.676925135,59.62732919,4.916703732,58.33333333,3.157860599,60.0,1.670221615,52.2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アマゾン ドットコム,AMZN,2024-11-07,0.0,0.0,0.0,1.0,1.0,0.0,0.0,75.0,1.06590749,79.41176471,3.635986723,75.75757576,4.263554179,72.72727273,4.458536178,66.66666667,0.656896837,71.875,2.580969399,62.5,3.457602049,70.0,2.075047591,57.14285714,1.777362797,207.2,0.0,0.09652509652510476,-0.7722007722007695,-0.5791505791505737,0.9169884169884198,1.785714285714294,-3.6679536679536655,-3.0405405405405324,-4.054054054054043,-3.7644787644787563,-5.501930501930491,-5.019305019305008,-3.9575289575289525,-2.6061776061775954,-1.0135135135135107,-1.254826254826252,1.1100386100386157,1.158301158301161,4.150579150579162,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アムコア,AMCR,2024-11-07,0.0,1.0,1.0,0.0,0.0,0.0,0.0,75.0,0.563261334,48.71794872,0.642255906,55.0,1.816827028,80.55555556,2.077615291,0.0,-4.999981772,56.41025641,1.456191147,64.82758621,1.812104942,65.0,0.655766862,41.37931034,-1.62953719,10.2,0.0,0.0,0.9803921568627592,0.0,-0.9803921568627416,-1.9607843137254832,0.0,-0.9803921568627416,-7.843137254901951,-0.9803921568627416,0.0,1.960784313725501,2.9411764705882426,0.9803921568627592,1.960784313725501,3.921568627450984,2.9411764705882426,2.9411764705882426,0.9803921568627592,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アメリカン エレクトリック パワー,AEP,2024-11-07,0.0,0.0,0.0,0.0,0.0,0.0,1.0,63.63636364,0.477168679,81.25,1.708233985,64.70588235,2.445636991,69.09090909,2.573119384,20.0,-1.622078,57.89473684,1.711915593,51.77304965,1.606911989,60.0,0.542997662,40.625,-0.927470052,95.3,0.0,0.3147953830010463,-1.1542497376705083,-2.833158447009447,-2.938090241343124,-2.5183630640083856,-1.5739769150052467,0.8394543546694619,0.10493179433369207,0.6295907660021076,1.1542497376705232,2.3084994753410313,1.8887722980062929,3.1479538300104934,4.512067156348371,4.197271773347325,2.5183630640084007,1.783840503672616,1.5739769150052467,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMT,AMT,2024-11-07,0.0,1.0,1.0,0.0,0.0,0.0,1.0,42.85714286,-0.238480902,87.5,4.424021293,47.61904762,-0.707846482,80.95238095,2.404773328,22.22222222,-0.978875506,41.66666667,0.164151097,47.36842105,-1.372229647,33.33333333,-1.922264915,43.24324324,-0.312180113,13.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アンシス,ANSS,2024-11-07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,50.0,0.516395841,67.74193548,1.806981058,65.78947368,2.151961585,63.41463415,1.417609073,0.0,-10.06167628,55.0,1.709034038,62.66666667,2.423231082,58.33333333,0.219084098,46.42857143,-0.980167669,105.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
エイピーエイ,APA,2024-11-07,0.0,0.0,1.0,0.0,0.0,0.0,1.0,62.5,0.960904152,58.33333333,1.139443025,46.51162791,1.198804858,38.63636364,1.079811633,66.66666667,1.129987256,45.94594595,0.539643052,41.66666667,-0.457750179,36.66666667,0.013687825,38.88888889,-0.744370167,21.9,0.0,-3.6529680365296677,-2.2831050228310503,0.0,-2.2831050228310503,0.913242009132433,1.3698630136986336,1.82648401826485,0.0,0.4566210045662165,1.3698630136986336,1.82648401826485,2.2831050228310503,1.3698630136986336,2.2831050228310503,2.7397260273972672,0.4566210045662165,1.82648401826485,1.3698630136986336,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アプティブ,APTV,2024-11-07,0.0,1.0,1.0,0.0,0.0,1.0,0.0,40.0,-0.237509246,65.0,0.982415468,37.5,0.70936973,50.0,1.754615414,0.0,-6.782417596,26.19047619,-0.989409416,43.44827586,0.503212978,36.66666667,0.163063503,34.7826087,-1.833803364,54.1,0.0,0.9242144177449167,2.7726432532347505,1.8484288354898335,2.7726432532347505,-0.18484288354898598,-3.696857670979667,-3.5120147874306813,-4.80591497227357,-4.066543438077639,-3.881700554528653,-1.4787430683918747,2.5878003696857643,1.4787430683918616,2.0332717190388196,0.5545286506469448,1.6635859519408478,-0.18484288354898598,3.881700554528653,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アリスタ ネットワークス,ANET,2024-11-07,0.0,0.0,0.0,1.0,1.0,0.0,0.0,100.0,3.15771374,100.0,6.316292867,64.47368421,4.530526045,70.0,3.904013335,64.70588235,3.871793432,80.64516129,4.434676139,64.90066225,6.35184602,61.66666667,3.292828392,59.64912281,3.475655975,106.2,0.0,-6.403013182674197,-8.097928436911497,-7.3446327683615795,-7.721280602636538,-9.51035781544257,-12.335216572504716,-13.08851224105462,-13.276836158192099,-11.676082862523545,-7.909604519774016,-5.932203389830506,-6.8738229755178875,-5.273069679849349,-7.250470809792846,-4.89642184557439,-4.425612052730699,-4.3314500941619665,-0.4708097928436911,,,,,,,,,,,,,,,,,,,,,,,,,,,,
