Name,Code,Date,Close,break_30d_day,break_52w_day,MACD_SIG_day,MACD_SIG_variation_day,MACD_HIST_week,EMA_25_Deviation_day,EMA_percentile_10,RSI_25_day,RSI_percentile_10,RSI_14_day,RSI_sig_14_day,vr_day,vr_percentile_10,BBAND_L2_day,MACD_Sign,EMA_dev_Sign,RSI_Sign,break_30d_Sign,break_52w_Sign,vr_Sign,BBAND_L2_Sign
3M,MMM,2024-11-19 00:00:00+00:00,128.0,136.4,139.4,-0.4,0.0,0,-1.2,-2.9,48.2,34.8,45.1,47.9,41.3,50.4,123.1,0,0,0,0,0,1,0
A.O. スミス,AOS,2024-11-19 00:00:00+00:00,71.0,87.7,92.0,-2.1,-0.0,0,-2.8,-3.0,31.7,37.9,22.6,28.5,49.6,56.1,71.1,0,0,1,0,0,1,1
アボット ラボラトリーズ,ABT,2024-11-19 00:00:00+00:00,115.4,119.4,121.0,0.3,-0.0,0,0.1,-2.3,53.4,39.0,51.9,52.3,103.7,65.0,112.4,0,0,0,0,0,0,0
アッヴィ,ABBV,2024-11-19 00:00:00+00:00,163.8,203.9,203.9,-3.5,-0.8,0,-5.9,-2.4,30.1,39.9,23.0,36.8,65.8,65.7,157.6,0,1,1,0,0,0,0
アクセンチュア,ACN,2024-11-19 00:00:00+00:00,350.0,376.9,386.9,0.0,-0.1,0,-0.9,-2.9,49.7,39.0,45.8,50.0,97.3,56.8,338.8,0,0,0,0,0,0,0
アーチャー ダニエルズ ミッドランド,ADM,2024-11-19 00:00:00+00:00,52.2,58.6,87.2,-1.5,0.0,0,-0.2,-2.7,40.3,38.4,41.1,37.5,69.6,57.3,49.1,0,0,0,0,0,0,0
アドビ,ADBE,2024-11-19 00:00:00+00:00,495.5,532.5,634.8,-1.1,0.6,0,-0.8,-3.8,47.3,38.4,48.7,50.4,78.5,53.0,464.0,0,0,0,0,0,0,0
アドバンス オート パーツ,AAP,2024-11-19 00:00:00+00:00,38.1,41.2,86.4,-0.3,0.1,0,-0.4,-4.5,45.2,33.0,49.2,48.7,141.6,49.5,34.6,0,0,0,0,0,0,0
アドバンスト マイクロ デバイシズ,AMD,2024-11-19 00:00:00+00:00,137.1,172.8,211.4,-3.8,-0.2,0,-2.0,-5.2,41.4,40.6,37.4,38.9,58.8,66.6,130.9,0,0,0,0,0,1,0
AES,AES,2024-11-19 00:00:00+00:00,13.5,18.1,22.5,-1.0,-0.0,0,-2.9,-4.3,29.3,36.9,24.2,24.0,62.1,58.9,11.9,0,0,0,0,0,0,0
アフラック,AFL,2024-11-19 00:00:00+00:00,110.1,115.0,115.3,-0.4,0.1,0,0.8,-2.1,53.9,42.0,53.8,50.0,96.1,72.2,103.5,0,0,0,0,0,0,0
アジレント テクノロジーズ,A,2024-11-19 00:00:00+00:00,125.1,144.8,154.6,-1.8,-0.2,0,-3.7,-3.1,36.0,39.7,29.1,38.5,57.2,63.7,124.5,0,1,1,0,0,1,0
エアープロダクツ アンド ケミカルズ,APD,2024-11-19 00:00:00+00:00,322.5,332.1,332.1,1.9,0.2,0,2.8,-2.7,63.9,39.0,67.0,56.7,112.7,64.0,298.9,0,0,0,0,0,0,0
アカマイ　テクノロジーズ,AKAM,2024-11-19 00:00:00+00:00,84.7,106.7,128.3,-2.6,-0.4,0,-5.9,-3.0,29.5,35.2,21.6,33.4,37.8,57.0,82.3,0,1,1,0,0,1,0
アラスカ　エア　グループ,ALK,2024-11-19 00:00:00+00:00,51.8,54.0,56.3,2.1,0.0,0,1.4,-4.5,69.7,37.0,70.5,74.4,203.2,50.1,43.7,0,0,0,0,0,0,0
アルベマール,ALB,2024-11-19 00:00:00+00:00,103.8,110.5,243.4,2.0,0.1,0,2.8,-5.8,57.4,37.7,59.2,57.5,110.4,50.9,89.2,0,0,0,0,0,0,0
ARE,ARE,2024-11-19 00:00:00+00:00,104.1,122.7,134.4,-2.2,-0.2,0,-3.3,-3.2,35.3,36.9,28.9,35.5,47.0,51.2,103.6,0,1,1,0,0,1,0
アライン　テクノロジー,ALGN,2024-11-19 00:00:00+00:00,221.6,234.1,385.3,-2.2,0.5,0,1.6,-5.4,50.0,35.9,53.4,48.2,108.1,54.1,201.4,0,0,0,0,0,0,0
